id,url,article,author,date
0,https://www.theverge.com/2022/9/5/23337584/apple-watch-pro-extra-buttons-rumor,"Leaked Apple Watch Pro cases and drawings hint at extra button, thankfully  ",Thomas Ricker$,NA
1,https://www.theverge.com/2022/9/5/23337580/openai-dall-e-text-to-image-generator-outpainting-native-function,DALL-E can now help you imagine what’s outside the frame of famous paintings,James Vincent$,NA
2,https://www.theverge.com/2022/9/5/23337587/game-console-energy-usage-mode-xbox-standby-instant-on-ps4-switch-compared,Xbox energy saver modes could save you up to £5 per month in the UK,Tom Warren$,NA
3,https://www.theverge.com/2022/9/5/23337730/watch-house-of-the-dragon-free-youtube-now-hbo-max,Psssstt…you can watch House of the Dragon for free on YouTube right now,Jess Weatherbed$,NA
4,https://www.theverge.com/2022/9/3/23335684/nasa-sls-roll-back-launch-delay-artemis,‘Large’ hydrogen leak foils NASA’s schedule for Artemis I mission ,Mary Beth Griggs$Emma Roth$,NA
5,https://www.theverge.com/2022/9/5/23337535/instagram-removes-pornhub-official-account,Instagram removes PornHub’s account as pressure from campaigners grows,James Vincent$,NA
6,https://www.theverge.com/2022/9/3/23335692/twitter-edit-button-platform-bluesky,Twitter’s edit button is a big test for the platform’s future,David Pierce$,NA
7,https://www.theverge.com/2022/9/3/23334933/matter-eve-smart-home-demonstration-nest-hub-android-smartthings-alexa-echo,Why it Matters that I just saw a Google Nest Hub control an Apple HomeKit smart plug,Jon Porter$,NA
8,https://www.theverge.com/2022/9/5/23337648/google-chrome-install-update-security-vulnerability,Google Chrome’s latest update has a security fix you should install ASAP,Justine Calma$,2022-09-05
9,https://www.theverge.com/2022/9/5/23311764/apple-iphone-14-event-far-out-2022-live-stream-watch-start-time-how-to,How to watch Apple’s ‘Far Out’ event,Jasmine Hicks$,2022-09-05
10,https://www.theverge.com/2022/9/5/23337570/samsung-galaxy-foldables-phones-smart-watches-new-feature-update-selfie-android,Samsung is bringing new features to its older foldables and smartwatches starting today,Jess Weatherbed$,2022-09-05
11,https://www.theverge.com/23330512/best-labor-day-sales-2022-tech-deals-macbook-laptops-earbuds-smart-home-tablets,The best Labor Day deals happening now,Antonio G. Di Benedetto$,2022-09-02
12,https://www.theverge.com/2022/9/4/23336997/lg-bringing-nfts-smart-tvs-cryptocurrency,LG is bringing NFTs to its smart TVs,Emma Roth$,NA
13,https://www.theverge.com/2022/9/4/23336772/cloudflare-blocks-kiwifarms-immediate-threat-human-life,Cloudflare blocks Kiwi Farms due to an ‘immediate threat to human life’,Emma Roth$,2022-09-04
14,https://www.theverge.com/2022/9/4/23336624/amazon-prime-video-three-day-pause-rings-of-power-review-bombing,Amazon’s putting a three-day pause on reviews for The Rings of Power,Emma Roth$,2022-09-04
15,https://www.theverge.com/2022/9/4/23336671/apple-announce-airpods-pro-2-this-weeks-far-out-event,Apple’s reportedly set to reveal the AirPods Pro 2 this week,Emma Roth$,2022-09-04
16,https://www.theverge.com/23309954/apple-iphone-14-event-rumors-announcements-airpods-pro-watch-ios-16-watchos-9,What to expect from Apple’s iPhone 14 event,Emma Roth$,2022-09-04
17,https://www.theverge.com/2022/9/3/23336007/google-pixel-7-pro-unboxing-video-launch-leak-rumors,Alleged Google Pixel 7 Pro appears in unboxing video ahead of launch,Emma Roth$,2022-09-03
18,https://www.theverge.com/2022/9/3/23335694/hackers-traffic-jam-russia-moscow-ride-hailing-app-yandex-taxi,Hackers caused a massive traffic jam in Moscow using a ride-hailing app,Emma Roth$,2022-09-03
19,https://www.theverge.com/2022/9/3/23319846/iphone-14-pro-reportedly-bring-back-old-battery-percentage-indicator-rumors-apple,The iPhone 14 Pro could bring back the old battery percentage indicator,Emma Roth$,2022-09-03
20,https://www.theverge.com/2022/9/3/23327972/nasa-artemis-i-sls-second-delay,NASA delays Artemis I’s launch for a second time,Mitchell Clark$,2022-09-03
21,https://www.theverge.com/2022/8/27/23318116/nasa-artemis-i-sls-megarocket-launch-orion-how-to-watch,How to watch NASA’s Artemis I SLS megarocket launch,Emma Roth$,2022-09-03
22,https://www.theverge.com/23329415/the-lord-of-the-rings-of-power-review-amazon-prime,Amazon’s The Lord of the Rings: The Rings of Power is small-screen high fantasy done right,Charles Pulliam-Moore$,2022-08-31
23,https://www.theverge.com/2022/9/2/23334656/meta-qualcomm-quest-vr-ar-snapdragon-xr-custom-chips,Meta’s chip deal with Qualcomm may reflect its unrealized VR ambitions,Mitchell Clark$,2022-09-02
24,https://www.theverge.com/2022/9/2/23334794/google-reinstates-parler-play-store-moderation,Google put Parler’s app back in the Play Store,Mitchell Clark$,NA
25,https://www.theverge.com/2022/9/2/23334619/microsoft-sony-call-of-duty-playstation-letter-commitment-activision-blizzard,Microsoft will keep Call of Duty on PlayStation for ‘several more years’ beyond existing deal,Tom Warren$,2022-09-02
26,https://www.theverge.com/2022/9/2/23334580/samsung-data-breach-us-names-birthdays-contact-info,"Samsung says a data breach revealed some customers’ names, birthdays, and more",Mitchell Clark$,2022-09-02
27,https://www.theverge.com/23334224/twitter-extremism-features-health-research-team-elon-musk-acquisition,Twitter had a new plan to fight extremism — then Elon arrived,Zoe Schiffer$Casey Newton$,2022-09-02
28,https://www.theverge.com/2022/9/2/23334501/sonos-sub-mini-leak-pictures-design,Leaked Sonos Sub Mini marketing photos show off its cylindrical shape,Richard Lawler$,2022-09-02
29,https://www.theverge.com/2022/8/26/23323894/bandcamp-fridays-coming-back-september-2022-music-psa,PSA: Bandcamp Friday is back,Mitchell Clark$,2022-09-02
30,https://www.theverge.com/23199281/back-to-school-student-gift-ideas-college-high-school-dorm-supplies-tech-2022,The Verge’s 2022 back-to-school gift guide,Alice Newcome-Beill$,2022-09-02
31,https://www.theverge.com/2022/9/2/23326730/honor-magic-v2-foldable-international-china-release-app-market,"China is all in on foldables — and Honor’s CEO thinks the rest of the world is ready, too",Jon Porter$,2022-09-02
